IP Address,MAC Address,Manufacturer,Device Type,Open Ports,Status
192.168.12.13,f4:6d:3f:7e:5d:92,Intel Corporate,File Sharing Device (SMB),"[25, 110, 119, 135, 139, 143]",Online
192.168.12.218,2e:2f:85:a9:97:4f,Unknown Manufacturer,Unknown Device,"[25, 53, 110, 119, 143]",Online
